Distance_(mm),Gray_Value
0.00000,42.1946
0.00608,45.5076
0.01216,47.3968
0.01824,48.9157
0.02432,50.9487
0.03039,52.3254
0.03647,50.4936
0.04255,47.9289
0.04863,47.4943
0.05471,48.6352
0.06079,49.6435
0.06687,50.7312
0.07295,52.6216
0.07902,53.3489
0.08510,54.4603
0.09118,55.1359
0.09726,53.9080
0.10334,53.2141
0.10942,52.6385
0.11550,52.5019
0.12158,52.8853
0.12765,52.8722
0.13373,52.7219
0.13981,52.4268
0.14589,52.7839
0.15197,53.3249
0.15805,52.6589
0.16413,50.5741
0.17021,48.9613
0.17628,48.2587
0.18236,48.8052
0.18844,49.7780
0.19452,49.8589
0.20060,50.0601
0.20668,48.4737
0.21276,47.0782
0.21884,46.6741
0.22491,46.6539
0.23099,46.8208
0.23707,46.4568
0.24315,46.1865
0.24923,46.4297
0.25531,46.7524
0.26139,46.0405
0.26747,44.6096
0.27354,43.6448
0.27962,43.2914
0.28570,42.1828
0.29178,39.8839
0.29786,39.4586
0.30394,39.4185
0.31002,38.3081
0.31610,36.8744
0.32218,36.0231
0.32825,35.0323
0.33433,34.4420
0.34041,34.1638
0.34649,34.2305
0.35257,33.7961
0.35865,33.8861
0.36473,33.6955
0.37081,34.1619
0.37688,35.8772
0.38296,36.6205
0.38904,36.9423
0.39512,38.0129
0.40120,37.4571
0.40728,36.2559
0.41336,36.7837
0.41944,38.3541
0.42551,39.3856
0.43159,39.8006
0.43767,39.3668
0.44375,38.8041
0.44983,38.6498
0.45591,38.7802
0.46199,40.1972
0.46807,40.4861
0.47414,40.0572
0.48022,41.0667
0.48630,41.0805
0.49238,39.7465
0.49846,39.3742
0.50454,39.6901
0.51062,40.9369
0.51670,40.1967
0.52277,38.6433
0.52885,38.9597
0.53493,39.6991
0.54101,40.3439
0.54709,41.8248
0.55317,43.2803
0.55925,43.8550
0.56533,43.0869
0.57140,42.0581
0.57748,41.7504
0.58356,42.8200
0.58964,43.0598
0.59572,41.6624
0.60180,41.2887
0.60788,40.9076
0.61396,39.5724
0.62003,39.7667
0.62611,40.9518
0.63219,43.1064
0.63827,44.4744
0.64435,44.5104
0.65043,44.0735
0.65651,42.4256
0.66259,41.5357
0.66867,41.8417
0.67474,41.4675
0.68082,40.8599
0.68690,41.1944
0.69298,42.0157
0.69906,41.8973
0.70514,41.0732
0.71122,39.7632
0.71730,39.2667
0.72337,39.5066
0.72945,40.0515
0.73553,40.0316
0.74161,38.8702
0.74769,37.0431
0.75377,37.0581
0.75985,38.3257
0.76593,39.5442
0.77200,39.5137
0.77808,38.8160
0.78416,39.0572
0.79024,37.8540
0.79632,37.8993
0.80240,38.2560
0.80848,38.0426
0.81456,37.2466
0.82063,37.0680
0.82671,36.8300
0.83279,36.7922
0.83887,37.4932
0.84495,36.7304
0.85103,35.7179
0.85711,35.5084
0.86319,35.8845
0.86926,36.0691
0.87534,35.3456
0.88142,34.9675
0.88750,34.8419
0.89358,35.5590
0.89966,36.6271
0.90574,35.8039
0.91182,33.7971
0.91789,32.7050
0.92397,32.3985
0.93005,31.5479
0.93613,31.4704
0.94221,31.8109
0.94829,31.5343
0.95437,30.5829
0.96045,30.3397
0.96653,30.6673
0.97260,30.5880
0.97868,30.2965
0.98476,29.8887
0.99084,30.0552
0.99692,29.8195
1.00300,29.9555
1.00908,29.6309
1.01516,29.3390
1.02123,28.7014
1.02731,27.9453
1.03339,27.3302
1.03947,27.9064
1.04555,28.1349
1.05163,27.9033
1.05771,27.9449
1.06379,27.7544
1.06986,27.7853
1.07594,27.7998
1.08202,27.7923
1.08810,27.5913
1.09418,27.6256
1.10026,27.7112
1.10634,28.2484
1.11242,28.8053
1.11849,28.8669
1.12457,28.5988
1.13065,28.3056
1.13673,28.7160
1.14281,29.4922
1.14889,29.4094
1.15497,28.9047
1.16105,28.6839
1.16712,28.5706
1.17320,28.5921
1.17928,28.2832
1.18536,28.9923
1.19144,29.8362
1.19752,29.5259
1.20360,29.1141
1.20968,29.4193
1.21575,28.5150
1.22183,27.2496
1.22791,26.6128
1.23399,26.0964
1.24007,26.0431
1.24615,26.2085
1.25223,25.7733
1.25831,24.2780
1.26439,22.6480
1.27046,20.8685
1.27654,19.2451
1.28262,18.1551
1.28870,17.2819
1.29478,16.9116
1.30086,15.9841
1.30694,14.4406
1.31302,12.4588
1.31909,11.4181
