Distance_(mm),Gray_Value
0.00000,45.8136
0.00608,47.5982
0.01216,48.8517
0.01824,47.5175
0.02432,44.9611
0.03039,43.9001
0.03647,44.2597
0.04255,45.3408
0.04863,45.9224
0.05471,44.8551
0.06079,43.3033
0.06687,43.2740
0.07295,44.1912
0.07902,44.7836
0.08510,44.4026
0.09118,42.6349
0.09726,41.3985
0.10334,41.5112
0.10942,41.5679
0.11550,41.0909
0.12158,40.2551
0.12765,38.1444
0.13373,36.7762
0.13981,36.4069
0.14589,36.9505
0.15197,37.3957
0.15805,36.2781
0.16413,36.0780
0.17021,36.1529
0.17628,35.9564
0.18236,36.1239
0.18844,36.2682
0.19452,35.9262
0.20060,35.2617
0.20668,34.7072
0.21276,34.4604
0.21884,34.3279
0.22491,33.5755
0.23099,33.3236
0.23707,33.4487
0.24315,33.5770
0.24923,33.7152
0.25531,33.1708
0.26139,31.9827
0.26747,31.0448
0.27354,30.7237
0.27962,30.7618
0.28570,30.2236
0.29178,29.7159
0.29786,29.2742
0.30394,28.8545
0.31002,29.0150
0.31610,29.8185
0.32218,30.9268
0.32825,33.4929
0.33433,36.8006
0.34041,37.7414
0.34649,37.7089
0.35257,37.6357
0.35865,37.6405
0.36473,37.5445
0.37081,36.9600
0.37688,36.3944
0.38296,36.0974
0.38904,36.0359
0.39512,37.4373
0.40120,38.9303
0.40728,38.5174
0.41336,36.9235
0.41944,36.3986
0.42551,37.5236
0.43159,38.8889
0.43767,39.4051
0.44375,39.7378
0.44983,39.9235
0.45591,39.9285
0.46199,40.5658
0.46807,41.4523
0.47414,41.2284
0.48022,40.0091
0.48630,39.0692
0.49238,39.3691
0.49846,40.4953
0.50454,40.7119
0.51062,40.1871
0.51670,39.2996
0.52277,38.8999
0.52885,39.7973
0.53493,41.1418
0.54101,41.4682
0.54709,41.3116
0.55317,40.5752
0.55925,39.2095
0.56533,38.0238
0.57140,38.1342
0.57748,38.9708
0.58356,39.7172
0.58964,40.1619
0.59572,40.0327
0.60180,40.7069
0.60788,41.7169
0.61396,41.2302
0.62003,39.9896
0.62611,38.8451
0.63219,38.2065
0.63827,37.9967
0.64435,37.8988
0.65043,38.7330
0.65651,38.1417
0.66259,36.9870
0.66867,36.9170
0.67474,36.9820
0.68082,36.9716
0.68690,37.7104
0.69298,36.8447
0.69906,36.3720
0.70514,36.4445
0.71122,37.4210
0.71730,38.6472
0.72337,39.1798
0.72945,39.2403
0.73553,39.8247
0.74161,40.6681
0.74769,40.4482
0.75377,40.0299
0.75985,40.0826
0.76593,40.4730
0.77200,40.3752
0.77808,40.1464
0.78416,40.7520
0.79024,42.2569
0.79632,43.6644
0.80240,42.3817
0.80848,41.4035
0.81456,41.5741
0.82063,41.8255
0.82671,42.3072
0.83279,42.6290
0.83887,42.8763
0.84495,42.9762
0.85103,44.0186
0.85711,45.5357
0.86319,44.7120
0.86926,44.4990
0.87534,45.8489
0.88142,44.4845
0.88750,44.0107
0.89358,45.5387
0.89966,46.2680
0.90574,45.4564
0.91182,45.0368
0.91789,44.9327
0.92397,44.8128
0.93005,45.7936
0.93613,46.0470
0.94221,46.1585
0.94829,46.6915
0.95437,47.3065
0.96045,47.3906
0.96653,46.5241
0.97260,46.2071
0.97868,46.9310
0.98476,47.8319
0.99084,48.8927
0.99692,49.3323
1.00300,48.4767
1.00908,47.4834
1.01516,47.5453
1.02123,48.0841
1.02731,48.2076
1.03339,47.9133
1.03947,47.9531
1.04555,49.3418
1.05163,50.4729
1.05771,49.2269
1.06379,48.4516
1.06986,49.1453
1.07594,49.6590
1.08202,49.5573
1.08810,49.3563
1.09418,47.2148
1.10026,45.8655
1.10634,45.6887
1.11242,47.2082
1.11849,49.1835
1.12457,48.9382
1.13065,49.3436
1.13673,49.3510
1.14281,47.4591
1.14889,46.2319
1.15497,46.7821
1.16105,48.4843
1.16712,50.3547
1.17320,51.5242
1.17928,52.1669
1.18536,51.2761
1.19144,49.8185
1.19752,50.5656
1.20360,52.0634
1.20968,51.4737
1.21575,51.3844
1.22183,51.9262
1.22791,51.3013
1.23399,50.5494
1.24007,51.5777
1.24615,53.4351
1.25223,53.8633
1.25831,53.3660
1.26439,53.2736
1.27046,53.1333
1.27654,52.8543
1.28262,51.9292
1.28870,51.5672
1.29478,52.4293
1.30086,54.4541
1.30694,55.4750
1.31302,55.1131
