Distance_(mm),Gray_Value
0.00000,13.1609
0.00608,14.8857
0.01216,18.0860
0.01824,20.5108
0.02432,22.9630
0.03039,25.7703
0.03647,29.5916
0.04255,33.1695
0.04863,35.3590
0.05471,34.1899
0.06079,46.7358
0.06687,56.7567
0.07295,56.5230
0.07902,62.3888
0.08510,57.1743
0.09118,60.2086
0.09726,66.9831
0.10334,66.9841
0.10942,67.5284
0.11550,73.7508
0.12158,82.7218
0.12765,81.2767
0.13373,81.3857
0.13981,87.4195
0.14589,87.5750
0.15197,82.3054
0.15805,78.9254
0.16413,81.3769
0.17021,88.0050
0.17628,100.5294
0.18236,93.0828
0.18844,91.2643
0.19452,93.4764
0.20060,94.4057
0.20668,84.9522
0.21276,88.7036
0.21884,88.7700
0.22491,93.5863
0.23099,94.7020
0.23707,92.4033
0.24315,89.3236
0.24923,84.2478
0.25531,79.7105
0.26139,79.9942
0.26747,88.0644
0.27354,83.0517
0.27962,81.0037
0.28570,76.1535
0.29178,71.6699
0.29786,75.3273
0.30394,75.5367
0.31002,70.0617
0.31610,71.8659
0.32218,71.1858
0.32825,62.4689
0.33433,67.6864
0.34041,63.8869
0.34649,70.9207
0.35257,70.2456
0.35865,74.7448
0.36473,69.9069
0.37081,59.7264
0.37688,60.5218
0.38296,60.3543
0.38904,61.4212
0.39512,61.6592
0.40120,65.5605
0.40728,62.4021
0.41336,51.0665
0.41944,58.0886
0.42551,59.2035
0.43159,55.4451
0.43767,56.1015
0.44375,58.5904
0.44983,63.9138
0.45591,67.3325
0.46199,58.9951
0.46807,66.7005
0.47414,68.8898
0.48022,63.7060
0.48630,64.8449
0.49238,69.6451
0.49846,63.4321
0.50454,60.1735
0.51062,66.2820
0.51670,69.2264
0.52277,60.3950
0.52885,72.5223
0.53493,74.5294
0.54101,69.6101
0.54709,73.2851
0.55317,72.9884
0.55925,64.1293
0.56533,67.8291
0.57140,59.9845
0.57748,66.7126
0.58356,67.2511
0.58964,69.7919
0.59572,66.3648
0.60180,69.2834
0.60788,68.1383
0.61396,67.0033
0.62003,62.5114
0.62611,67.9147
0.63219,56.9985
0.63827,61.1799
0.64435,61.8308
0.65043,55.0843
0.65651,57.3798
0.66259,53.9944
0.66867,69.5933
0.67474,58.4374
0.68082,56.8515
0.68690,58.5437
0.69298,49.0442
0.69906,52.3874
0.70514,44.7010
0.71122,48.3627
0.71730,50.4134
0.72337,45.0902
0.72945,46.5984
0.73553,47.6771
0.74161,57.4764
0.74769,47.0494
0.75377,52.4483
0.75985,55.5641
0.76593,65.5223
0.77200,57.6730
0.77808,57.9307
0.78416,57.7477
0.79024,43.3573
0.79632,40.7694
0.80240,48.4312
0.80848,53.5687
0.81456,44.4926
0.82063,46.6417
0.82671,44.5615
0.83279,51.7218
0.83887,47.4713
0.84495,47.1371
0.85103,51.9535
0.85711,51.0533
0.86319,54.9024
0.86926,62.0081
0.87534,54.6123
0.88142,48.5614
0.88750,49.4383
0.89358,50.3673
0.89966,56.1371
0.90574,46.5217
0.91182,45.3931
0.91789,51.9920
0.92397,52.9714
0.93005,45.2372
0.93613,43.9527
0.94221,55.2672
0.94829,55.7104
0.95437,53.1558
0.96045,52.8399
0.96653,40.5445
0.97260,56.4269
0.97868,55.9688
