Distance_(mm),Gray_Value
0.0000,54.5176
0.0061,55.4346
0.0122,56.1059
0.0182,56.7643
0.0243,56.9528
0.0304,57.0023
0.0365,57.2596
0.0426,57.4188
0.0486,57.4825
0.0547,57.4728
0.0608,57.6663
0.0669,58.0853
0.0729,58.6055
0.0790,59.3746
0.0851,60.2766
0.0912,61.5024
0.0973,62.4645
0.1033,62.7485
0.1094,62.5925
0.1155,62.3700
0.1216,62.1595
0.1277,62.0431
0.1337,62.0915
0.1398,62.1717
0.1459,62.2427
0.1520,62.2844
0.1580,62.4652
0.1641,62.7074
0.1702,62.9679
0.1763,63.3387
0.1824,63.7865
0.1884,64.2844
0.1945,64.9830
0.2006,65.7660
0.2067,66.6227
0.2128,67.5698
0.2188,68.2359
0.2249,68.6758
0.2310,68.4412
0.2371,67.4250
0.2432,66.1392
0.2492,65.0013
0.2553,64.1984
0.2614,63.6930
0.2675,63.5159
0.2735,63.6982
0.2796,64.3657
0.2857,65.3880
0.2918,66.3634
0.2979,67.1329
0.3039,67.5285
0.3100,67.7002
0.3161,67.9791
0.3222,68.2970
0.3283,68.3854
0.3343,68.0507
0.3404,67.2320
0.3465,65.9433
0.3526,64.3999
0.3586,63.0227
0.3647,61.7615
0.3708,60.5249
0.3769,59.3781
0.3830,58.6212
0.3890,58.4043
0.3951,58.7181
0.4012,59.4332
0.4073,60.3064
0.4134,61.2729
0.4194,62.1704
0.4255,62.4046
0.4316,61.8218
0.4377,60.9818
0.4438,60.2996
0.4498,59.6591
0.4559,59.2257
0.4620,58.9690
0.4681,58.8126
0.4741,58.4100
0.4802,57.7899
0.4863,57.1158
0.4924,56.5904
0.4985,56.2803
0.5045,56.4157
0.5106,56.6348
0.5167,56.7153
0.5228,56.7941
0.5289,56.7659
0.5349,56.6397
0.5410,56.5082
0.5471,56.3097
0.5532,56.1122
0.5592,56.2449
0.5653,56.5250
0.5714,56.9585
0.5775,57.3557
0.5836,57.6338
0.5896,57.2333
0.5957,56.2007
0.6018,55.1400
0.6079,54.5864
0.6140,54.7314
0.6200,55.2200
0.6261,55.8294
0.6322,56.3195
0.6383,56.7100
0.6444,56.8549
0.6504,56.6909
0.6565,56.7274
0.6626,57.2243
0.6687,57.5040
0.6747,57.3280
0.6808,56.9320
0.6869,56.6400
0.6930,56.6772
0.6991,56.9044
0.7051,57.3370
0.7112,57.9253
0.7173,58.7376
0.7234,59.7288
0.7295,60.6076
0.7355,61.3129
0.7416,61.8667
0.7477,62.4507
0.7538,63.1200
0.7598,64.0309
0.7659,64.8794
0.7720,65.1164
0.7781,65.1142
0.7842,65.2814
0.7902,65.5559
0.7963,65.4985
0.8024,64.8654
0.8085,63.9053
0.8146,63.2344
0.8206,62.9782
0.8267,62.8484
0.8328,62.7034
0.8389,62.4681
0.8449,62.3507
0.8510,62.6097
0.8571,63.2123
0.8632,63.7647
0.8693,64.3349
0.8753,64.8584
0.8814,65.3523
0.8875,66.1015
0.8936,66.8894
0.8997,67.2905
0.9057,67.0485
0.9118,66.3581
0.9179,65.4200
0.9240,64.5104
0.9301,63.7117
0.9361,62.9533
0.9422,62.4966
0.9483,62.1578
0.9544,61.9090
0.9604,61.6528
0.9665,61.3744
0.9726,61.2285
0.9787,60.8875
0.9848,60.4044
0.9908,60.0701
0.9969,59.8310
1.0030,59.8512
1.0091,59.8183
1.0152,59.6291
1.0212,59.7172
1.0273,59.9150
1.0334,60.0219
1.0395,60.1254
1.0455,60.1476
1.0516,60.1320
1.0577,60.1694
1.0638,60.4731
1.0699,60.9799
1.0759,61.3063
1.0820,61.2942
1.0881,60.9152
1.0942,60.3873
1.1003,59.8676
1.1063,59.3108
1.1124,58.7137
1.1185,58.1829
1.1246,57.8775
1.1307,57.7408
1.1367,57.6187
1.1428,57.5762
1.1489,57.7089
1.1550,57.8791
1.1610,58.0923
1.1671,58.2624
1.1732,58.4815
1.1793,58.7339
1.1854,58.8817
1.1914,58.9961
1.1975,59.2791
1.2036,59.5425
1.2097,59.8385
1.2158,60.2153
1.2218,60.7013
1.2279,61.1687
1.2340,61.3698
1.2401,61.3285
1.2461,61.1400
1.2522,60.8391
1.2583,60.4301
1.2644,59.8536
1.2705,59.3428
1.2765,59.1360
1.2826,59.1927
1.2887,59.3418
1.2948,59.5889
1.3009,59.8443
1.3069,60.2493
1.3130,60.8554
1.3191,61.4615
1.3252,61.8350
1.3313,62.0135
1.3373,62.2462
1.3434,62.3768
1.3495,62.4300
1.3556,62.5249
1.3616,62.6974
1.3677,63.0198
1.3738,63.4094
1.3799,63.7845
1.3860,63.9887
1.3920,63.9783
1.3981,63.6941
1.4042,63.2498
1.4103,62.6386
1.4164,62.0382
1.4224,61.5579
1.4285,61.2717
1.4346,61.2228
1.4407,61.1999
1.4467,61.3092
1.4528,61.4120
1.4589,61.5468
1.4650,61.6978
1.4711,61.8211
1.4771,61.8553
1.4832,61.6272
1.4893,61.2654
1.4954,60.7874
1.5015,60.3455
1.5075,59.9142
1.5136,59.5118
1.5197,59.0961
1.5258,58.7041
1.5319,58.4220
1.5379,58.1715
1.5440,57.8929
1.5501,57.7877
1.5562,57.7453
1.5622,57.7223
1.5683,57.6792
1.5744,57.6182
1.5805,57.4813
1.5866,57.3378
1.5926,57.1447
1.5987,56.9732
