Distance_(mm),Gray_Value
0.00000,28.0962
0.00608,27.8027
0.01216,27.0501
0.01824,26.7318
0.02432,26.1873
0.03039,25.3631
0.03647,25.2991
0.04255,25.9628
0.04863,26.6863
0.05471,27.8632
0.06079,29.4844
0.06687,31.3056
0.07295,33.1488
0.07902,35.3538
0.08510,39.1301
0.09118,43.6656
0.09726,46.5397
0.10334,47.6031
0.10942,48.9882
0.11550,49.7450
0.12158,48.3448
0.12765,46.9368
0.13373,47.6413
0.13981,49.8290
0.14589,51.7928
0.15197,52.5913
0.15805,52.9796
0.16413,52.0088
0.17021,49.5160
0.17628,49.0570
0.18236,50.1154
0.18844,50.5825
0.19452,50.8654
0.20060,51.5614
0.20668,52.0970
0.21276,51.6999
0.21884,50.4344
0.22491,50.1365
0.23099,53.5918
0.23707,55.3093
0.24315,54.3247
0.24923,53.6220
0.25531,51.9155
0.26139,49.1467
0.26747,46.3508
0.27354,44.9416
0.27962,45.0036
0.28570,46.4506
0.29178,47.4551
0.29786,47.9079
0.30394,47.8111
0.31002,46.1666
0.31610,45.4073
0.32218,44.8925
0.32825,45.7022
0.33433,47.3078
0.34041,45.7008
0.34649,44.4615
0.35257,44.6754
0.35865,44.5246
0.36473,44.5023
0.37081,45.7085
0.37688,44.7066
0.38296,43.1849
0.38904,42.2195
0.39512,41.0761
0.40120,40.2389
0.40728,40.2622
0.41336,39.8432
0.41944,39.1085
0.42551,38.4810
0.43159,37.9414
0.43767,37.2883
0.44375,37.5751
0.44983,38.0355
0.45591,37.3866
0.46199,37.1955
0.46807,37.0676
0.47414,37.0872
0.48022,37.4636
0.48630,37.4698
0.49238,37.2282
0.49846,37.3427
0.50454,36.4238
0.51062,35.4945
0.51670,35.6079
0.52277,35.7916
0.52885,35.8148
0.53493,35.2521
0.54101,35.2521
0.54709,36.0622
0.55317,36.4796
0.55925,35.9227
0.56533,36.1553
0.57140,36.3357
0.57748,36.1651
0.58356,35.9073
0.58964,35.0112
0.59572,34.2650
0.60180,34.3237
0.60788,35.0190
0.61396,35.4120
0.62003,35.1400
0.62611,35.1499
0.63219,34.4529
0.63827,33.4268
0.64435,33.1100
0.65043,33.6496
0.65651,35.0008
0.66259,35.8059
0.66867,36.1537
0.67474,36.5397
0.68082,37.1331
0.68690,37.8707
0.69298,37.9440
0.69906,36.7483
0.70514,35.8245
0.71122,35.3996
0.71730,35.2968
0.72337,35.3599
0.72945,35.8605
0.73553,36.3579
0.74161,36.0863
0.74769,35.6980
0.75377,36.0489
0.75985,36.2444
0.76593,35.9565
0.77200,36.0975
0.77808,36.3393
0.78416,36.4302
0.79024,36.6992
0.79632,37.4771
0.80240,37.5402
0.80848,36.8248
0.81456,36.6840
0.82063,36.5917
0.82671,36.3126
0.83279,36.1542
0.83887,36.4940
0.84495,37.5019
0.85103,38.3928
0.85711,38.3333
0.86319,37.9095
0.86926,37.8753
0.87534,38.2998
0.88142,38.9462
0.88750,39.4174
0.89358,39.5099
0.89966,39.3823
0.90574,39.6337
0.91182,40.0179
0.91789,40.1828
0.92397,39.8212
0.93005,39.1131
0.93613,38.5423
0.94221,38.8282
0.94829,39.3556
0.95437,39.1487
0.96045,39.1508
0.96653,39.2609
0.97260,39.1060
0.97868,38.7103
0.98476,38.4019
0.99084,38.0634
0.99692,38.3641
1.00300,39.0284
1.00908,38.4993
1.01516,37.9061
1.02123,38.6808
1.02731,39.3098
1.03339,38.9662
1.03947,38.7200
1.04555,38.5777
1.05163,38.5590
1.05771,38.2812
1.06379,38.0954
1.06986,38.2201
1.07594,37.9626
1.08202,37.4659
1.08810,37.5891
1.09418,38.3382
1.10026,38.7691
1.10634,38.3365
1.11242,37.8206
1.11849,37.5322
1.12457,37.4937
1.13065,37.2600
1.13673,36.6655
1.14281,35.8158
1.14889,35.0264
1.15497,34.8057
1.16105,34.9819
1.16712,35.0383
1.17320,34.8787
1.17928,34.3864
1.18536,33.3811
1.19144,32.9133
1.19752,32.8329
