Distance_(mm),Gray_Value
0.00000,105.095
0.00608,103.927
0.01216,102.731
0.01824,105.316
0.02432,101.475
0.03039,111.755
0.03647,110.161
0.04255,113.351
0.04863,130.341
0.05471,138.491
0.06079,133.604
0.06687,130.830
0.07295,135.682
0.07902,133.446
0.08510,133.069
0.09118,137.092
0.09726,139.290
0.10334,138.971
0.10942,139.701
0.11550,141.562
0.12158,141.514
0.12765,139.334
0.13373,143.679
0.13981,148.226
0.14589,151.795
0.15197,144.812
0.15805,141.595
0.16413,142.525
0.17021,149.047
0.17628,142.372
0.18236,139.308
0.18844,143.930
0.19452,147.140
0.20060,146.632
0.20668,141.268
0.21276,139.669
0.21884,130.902
0.22491,125.757
0.23099,127.541
0.23707,128.099
0.24315,125.590
0.24923,142.205
0.25531,146.294
0.26139,145.141
0.26747,145.811
0.27354,149.543
0.27962,153.916
0.28570,153.588
0.29178,152.438
0.29786,155.131
0.30394,148.953
0.31002,145.141
0.31610,140.272
0.32218,140.968
0.32825,136.574
0.33433,131.399
0.34041,139.940
0.34649,131.937
0.35257,134.563
0.35865,128.834
0.36473,132.362
0.37081,135.104
0.37688,129.920
0.38296,122.547
0.38904,130.644
0.39512,137.517
0.40120,138.286
0.40728,131.780
0.41336,126.605
0.41944,124.078
0.42551,123.823
0.43159,128.809
0.43767,127.046
0.44375,121.023
0.44983,122.140
0.45591,119.177
0.46199,116.522
0.46807,115.206
0.47414,116.555
0.48022,121.059
0.48630,116.081
0.49238,115.772
0.49846,116.304
0.50454,120.085
0.51062,117.562
0.51670,114.448
0.52277,117.572
0.52885,121.661
0.53493,122.240
0.54101,124.894
0.54709,123.043
0.55317,119.947
0.55925,116.692
0.56533,119.192
0.57140,117.336
0.57748,114.183
0.58356,117.213
0.58964,113.851
0.59572,108.620
0.60180,107.254
0.60788,113.015
0.61396,110.099
0.62003,110.285
0.62611,113.870
0.63219,116.641
0.63827,125.171
0.64435,122.559
0.65043,122.513
0.65651,121.030
0.66259,123.568
0.66867,123.492
0.67474,120.417
0.68082,115.070
0.68690,118.028
0.69298,123.720
0.69906,127.793
0.70514,125.743
0.71122,125.977
0.71730,123.526
0.72337,125.328
0.72945,127.111
0.73553,128.247
0.74161,127.199
0.74769,125.585
0.75377,129.462
0.75985,131.350
0.76593,132.968
0.77200,128.762
0.77808,129.372
0.78416,123.353
0.79024,118.142
0.79632,121.116
0.80240,116.461
0.80848,115.715
0.81456,118.284
0.82063,119.534
0.82671,118.498
0.83279,111.281
0.83887,111.180
0.84495,117.173
