Distance_(mm),Gray_Value
0.00000,51.9341
0.00608,54.0862
0.01216,54.0219
0.01824,52.7468
0.02432,55.4633
0.03039,57.1450
0.03647,60.3400
0.04255,62.9627
0.04863,59.5130
0.05471,56.2337
0.06079,56.0708
0.06687,57.1187
0.07295,59.0504
0.07902,59.1841
0.08510,57.6783
0.09118,56.9857
0.09726,58.9823
0.10334,65.2926
0.10942,62.7365
0.11550,55.6172
0.12158,55.2261
0.12765,57.1996
0.13373,58.0147
0.13981,56.8517
0.14589,54.9413
0.15197,54.3717
0.15805,54.6967
0.16413,54.6445
0.17021,55.0360
0.17628,55.7087
0.18236,55.1525
0.18844,54.2188
0.19452,52.0547
0.20060,50.0245
0.20668,49.7314
0.21276,48.6881
0.21884,49.4731
0.22491,51.0657
0.23099,52.0206
0.23707,50.3779
0.24315,50.0838
0.24923,49.5857
0.25531,49.1691
0.26139,48.6443
0.26747,47.6875
0.27354,44.9629
0.27962,44.4190
0.28570,45.0759
0.29178,45.0959
0.29786,44.7073
0.30394,44.1635
0.31002,43.3836
0.31610,43.3094
0.32218,42.0699
0.32825,40.5607
0.33433,41.3136
0.34041,42.5653
0.34649,39.2561
0.35257,36.7788
0.35865,36.3770
0.36473,36.6307
0.37081,35.8909
0.37688,34.3382
0.38296,33.2453
0.38904,32.0712
0.39512,31.4729
0.40120,31.8509
0.40728,33.3533
0.41336,34.7500
0.41944,36.1459
0.42551,36.2032
0.43159,36.1092
0.43767,35.4851
0.44375,35.4543
0.44983,35.7459
0.45591,35.4005
0.46199,34.9136
0.46807,35.0594
0.47414,35.2826
0.48022,35.2819
0.48630,34.6262
0.49238,34.4473
0.49846,34.9321
0.50454,35.7491
0.51062,35.8950
0.51670,36.0774
0.52277,35.5197
0.52885,35.8873
0.53493,37.0023
0.54101,36.8723
0.54709,38.0939
0.55317,36.1287
0.55925,35.8815
0.56533,37.3727
0.57140,38.5987
0.57748,39.0963
0.58356,38.5262
0.58964,36.2932
0.59572,34.9935
0.60180,35.0307
0.60788,35.6512
0.61396,35.3243
0.62003,34.1325
0.62611,33.2154
0.63219,33.4721
0.63827,34.8486
0.64435,34.7160
0.65043,33.8792
0.65651,33.8760
0.66259,34.7853
0.66867,36.0952
0.67474,35.4036
0.68082,33.7535
0.68690,33.6160
0.69298,33.9608
0.69906,35.2976
0.70514,38.1543
0.71122,36.6875
0.71730,33.6726
0.72337,32.2181
0.72945,31.9565
0.73553,32.4222
0.74161,34.0633
0.74769,34.2026
0.75377,32.9345
0.75985,31.4005
0.76593,31.2531
0.77200,31.7437
0.77808,32.3554
0.78416,31.5956
0.79024,30.6147
0.79632,30.5918
0.80240,31.5820
0.80848,31.7442
0.81456,32.2899
0.82063,30.3403
0.82671,28.2541
0.83279,27.6058
0.83887,27.1293
0.84495,26.3313
0.85103,25.8755
0.85711,26.1071
0.86319,26.3563
0.86926,26.8536
0.87534,27.6562
0.88142,28.2791
0.88750,27.1771
0.89358,25.9994
0.89966,26.0881
0.90574,26.3824
0.91182,27.3045
0.91789,30.1466
0.92397,29.5997
0.93005,29.3766
0.93613,28.5409
0.94221,26.9638
0.94829,26.3106
0.95437,26.8996
0.96045,27.3232
0.96653,26.9510
0.97260,26.6900
0.97868,26.5719
0.98476,26.5522
0.99084,26.3730
0.99692,25.9333
1.00300,26.2498
1.00908,27.5132
1.01516,27.3032
1.02123,26.5639
1.02731,26.1625
1.03339,25.7010
1.03947,25.9903
1.04555,25.5596
1.05163,24.9184
1.05771,24.9950
1.06379,24.7293
1.06986,23.5654
1.07594,22.3344
1.08202,21.2026
1.08810,20.2639
1.09418,19.2778
1.10026,18.4780
1.10634,18.5672
1.11242,18.7575
1.11849,18.6332
1.12457,17.0938
1.13065,14.2833
1.13673,12.4502
1.14281,11.6854
1.14889,11.0478
1.15497,10.7211
1.16105,10.5178
1.16712,10.6010
1.17320,10.8777
1.17928,10.7911
1.18536,10.6751
1.19144,10.7272
1.19752,10.4231
1.20360,9.8106
1.20968,9.6347
1.21575,9.2846
1.22183,8.9992
1.22791,8.7138
1.23399,8.5572
1.24007,8.5538
1.24615,8.6808
1.25223,8.2632
1.25831,7.8816
1.26439,7.7486
1.27046,7.5279
1.27654,7.2872
1.28262,7.3255
1.28870,7.2075
1.29478,7.2741
1.30086,7.1197
1.30694,6.7605
1.31302,6.3543
1.31909,6.1840
1.32517,6.0747
1.33125,5.8879
1.33733,5.6580
1.34341,5.4301
1.34949,5.4132
1.35557,5.2806
1.36165,5.1749
1.36772,5.3016
1.37380,5.3066
1.37988,5.3053
1.38596,5.3731
1.39204,5.5763
1.39812,5.8110
1.40420,5.9459
1.41028,5.8140
1.41635,5.7702
1.42243,5.7862
1.42851,5.8260
1.43459,5.9103
1.44067,5.9397
1.44675,6.0116
1.45283,6.1720
1.45891,6.1792
1.46498,6.2014
1.47106,6.1271
1.47714,6.0233
1.48322,5.8287
1.48930,5.7734
1.49538,5.8341
1.50146,5.8974
1.50754,6.0336
1.51361,6.0314
1.51969,5.8438
1.52577,5.6615
1.53185,5.5844
1.53793,5.5808
1.54401,5.6742
1.55009,5.7720
1.55617,5.7547
1.56225,5.7788
1.56832,5.8950
1.57440,6.0193
1.58048,6.2709
1.58656,6.4037
1.59264,6.4740
1.59872,6.8903
1.60480,7.1364
1.61088,7.2899
1.61695,7.2614
1.62303,7.2789
1.62911,7.4044
1.63519,7.8227
1.64127,8.1241
1.64735,8.0439
1.65343,7.8915
1.65951,7.8917
1.66558,7.9269
1.67166,8.1090
1.67774,8.2364
1.68382,8.4644
1.68990,8.8205
1.69598,9.2955
1.70206,9.7761
1.70814,9.9255
1.71421,10.1567
1.72029,10.2344
1.72637,10.3589
1.73245,10.3206
1.73853,10.2033
1.74461,10.1665
1.75069,10.2097
1.75677,10.7359
1.76284,10.8486
1.76892,10.7225
1.77500,10.8006
1.78108,10.7688
1.78716,10.8361
1.79324,10.7323
1.79932,10.6882
1.80540,10.7348
1.81147,10.8482
1.81755,11.0100
1.82363,11.0068
1.82971,10.9935
1.83579,11.0545
1.84187,11.2916
1.84795,11.4359
1.85403,11.4433
1.86011,11.2522
1.86618,11.2039
1.87226,11.2013
1.87834,11.1894
1.88442,11.4571
1.89050,11.8786
1.89658,11.7897
1.90266,11.5678
1.90874,11.9293
1.91481,12.4137
1.92089,12.6678
1.92697,13.0888
1.93305,13.5719
1.93913,13.8456
1.94521,13.7894
1.95129,14.0375
1.95737,14.5186
1.96344,14.7948
1.96952,14.9165
1.97560,14.9611
1.98168,15.0953
1.98776,15.8758
1.99384,16.4277
1.99992,16.1791
2.00600,15.9165
2.01207,15.7255
2.01815,15.1414
2.02423,14.5347
2.03031,13.9096
2.03639,13.5228
2.04247,13.2822
2.04855,13.3287
2.05463,13.2507
2.06070,12.8931
2.06678,11.9979
2.07286,11.1595
2.07894,10.7227
2.08502,10.4750
2.09110,10.2513
2.09718,10.6825
2.10326,11.7512
2.10933,12.0277
2.11541,11.9022
2.12149,11.7462
2.12757,11.7660
2.13365,11.7398
2.13973,11.6271
2.14581,11.6373
2.15189,11.6734
2.15796,11.6769
2.16404,11.7215
2.17012,12.0688
2.17620,12.7259
2.18228,13.1117
2.18836,13.1078
2.19444,12.9155
2.20052,13.1016
2.20660,13.7592
2.21267,14.2549
2.21875,14.6071
2.22483,15.3386
2.23091,16.2203
2.23699,16.3152
2.24307,14.6295
2.24915,12.6197
2.25523,11.8185
2.26130,11.6200
2.26738,11.5710
2.27346,11.4261
2.27954,11.2010
2.28562,11.2361
2.29170,11.4272
2.29778,11.6419
2.30386,12.2773
2.30993,13.3770
2.31601,14.1868
2.32209,14.3977
2.32817,14.2135
2.33425,13.9940
2.34033,13.9427
2.34641,14.2394
2.35249,14.7062
2.35856,14.7361
2.36464,14.8312
2.37072,16.3757
2.37680,17.9608
2.38288,17.2950
2.38896,15.9336
2.39504,16.1572
2.40112,16.4791
2.40719,14.8322
2.41327,13.8941
2.41935,13.8874
2.42543,13.9530
2.43151,14.1629
2.43759,14.2090
2.44367,14.2087
2.44975,14.1390
2.45582,14.0136
2.46190,14.2528
2.46798,14.5161
2.47406,14.4883
2.48014,14.5490
2.48622,14.6746
2.49230,14.9518
2.49838,15.7814
2.50446,16.7797
2.51053,17.7525
2.51661,18.7654
2.52269,19.5103
2.52877,19.9336
2.53485,20.0785
2.54093,20.3797
2.54701,19.7851
2.55309,18.3391
2.55916,17.4713
2.56524,17.6860
2.57132,19.0075
2.57740,19.9962
2.58348,18.6437
2.58956,16.1604
2.59564,15.0931
2.60172,15.0365
2.60779,15.0430
2.61387,14.9185
2.61995,14.5666
2.62603,14.1700
2.63211,13.7932
2.63819,13.4877
2.64427,13.4688
2.65035,13.7341
2.65642,14.3039
2.66250,14.7310
2.66858,14.8877
2.67466,14.7148
2.68074,14.2840
2.68682,13.9183
2.69290,13.8155
2.69898,14.1931
2.70505,14.6037
2.71113,15.0848
2.71721,15.3005
2.72329,15.1964
2.72937,14.7417
2.73545,14.4685
2.74153,14.4724
2.74761,14.8155
2.75368,15.1851
2.75976,14.9155
2.76584,13.9751
2.77192,13.2349
2.77800,13.1576
2.78408,13.4736
2.79016,13.9212
2.79624,14.1001
2.80231,14.0058
2.80839,13.8162
2.81447,13.5313
2.82055,13.2030
2.82663,12.8588
2.83271,12.4102
2.83879,11.7617
2.84487,10.9770
2.85095,10.2179
2.85702,9.7723
2.86310,9.6340
2.86918,9.5631
2.87526,9.4557
2.88134,9.3602
2.88742,9.2259
2.89350,9.1201
2.89958,8.9107
2.90565,8.5868
2.91173,8.4889
2.91781,8.4976
2.92389,9.3998
2.92997,12.7054
2.93605,16.1273
2.94213,16.0943
2.94821,14.8815
2.95428,14.8076
2.96036,14.9215
2.96644,14.7149
2.97252,14.6509
2.97860,15.1816
2.98468,16.9455
2.99076,17.9181
2.99684,17.7841
3.00291,17.2546
3.00899,15.5128
3.01507,12.4204
3.02115,10.7707
3.02723,10.0619
3.03331,8.2475
3.03939,5.3984
3.04547,4.6437
3.05154,4.5527
3.05762,4.4646
3.06370,4.3555
3.06978,4.6517
3.07586,4.9019
3.08194,4.9514
3.08802,5.0535
3.09410,4.9772
3.10018,4.9031
3.10625,4.8079
3.11233,4.7010
3.11841,4.8823
3.12449,5.0228
3.13057,5.1045
3.13665,4.9944
3.14273,4.8009
3.14881,4.2885
3.15488,3.9287
3.16096,3.8612
3.16704,3.9947
3.17312,4.0707
3.17920,4.1561
3.18528,4.1803
3.19136,4.2191
3.19744,4.2220
3.20351,4.1767
3.20959,4.1658
3.21567,4.1145
3.22175,4.0937
3.22783,4.0734
3.23391,3.9931
3.23999,3.9501
3.24607,3.9789
3.25214,3.9588
3.25822,3.8872
3.26430,3.9256
3.27038,3.9867
3.27646,3.9935
3.28254,4.0495
3.28862,4.0892
3.29470,4.1537
3.30077,4.2206
3.30685,4.4061
3.31293,4.5442
3.31901,4.5600
3.32509,4.6905
3.33117,4.7460
3.33725,4.8871
3.34333,4.8294
3.34940,4.7534
3.35548,4.6627
3.36156,4.6729
3.36764,4.5902
3.37372,4.4940
3.37980,4.5538
3.38588,4.6656
3.39196,4.7482
3.39804,4.7188
3.40411,4.6732
3.41019,4.5709
3.41627,4.2757
3.42235,4.0720
3.42843,3.8268
3.43451,3.5978
3.44059,3.6107
3.44667,3.3822
3.45274,2.7672
3.45882,1.6776
3.46490,0.7347
3.47098,0.3760
