Distance_(mm),Gray_Value
0.0000,51.8080
0.0061,52.4080
0.0122,52.8055
0.0182,53.0767
0.0243,53.1923
0.0304,52.9388
0.0365,52.6709
0.0426,52.6336
0.0486,52.9051
0.0547,53.2556
0.0608,53.0923
0.0669,52.3734
0.0729,51.6827
0.0790,50.7480
0.0851,49.2357
0.0912,47.2025
0.0973,45.2698
0.1033,43.9566
0.1094,43.2184
0.1155,42.4958
0.1216,42.0106
0.1277,41.8058
0.1337,41.7909
0.1398,41.8396
0.1459,41.8527
0.1520,42.0260
0.1580,42.3860
0.1641,42.9606
0.1702,43.7482
0.1763,44.5002
0.1824,45.1169
0.1884,45.3168
0.1945,44.9518
0.2006,43.9426
0.2067,42.6934
0.2128,41.9301
0.2188,41.5925
0.2249,41.4773
0.2310,41.3837
0.2371,40.9635
0.2432,40.3619
0.2492,39.8576
0.2553,39.3380
0.2614,38.7990
0.2675,38.2626
0.2735,37.8154
0.2796,37.7513
0.2857,38.1007
0.2918,38.7519
0.2979,39.4927
0.3039,40.3888
0.3100,41.2279
0.3161,41.5862
0.3222,41.8435
0.3283,42.2318
0.3343,42.5805
0.3404,42.5448
0.3465,42.4572
0.3526,42.8729
0.3586,43.5813
0.3647,44.4472
0.3708,45.1107
0.3769,45.4493
0.3830,45.4332
0.3890,44.9154
0.3951,44.2783
0.4012,43.6029
0.4073,43.0374
0.4134,42.4618
0.4194,41.8191
0.4255,41.2038
0.4316,40.7489
0.4377,40.3878
0.4438,40.1269
0.4498,39.6336
0.4559,38.6981
0.4620,37.5811
0.4681,36.5452
0.4741,35.5768
0.4802,34.7085
0.4863,33.9318
0.4924,33.3011
0.4985,32.7748
0.5045,32.5325
0.5106,32.4896
0.5167,32.6224
0.5228,33.0651
0.5289,33.8728
0.5349,34.9998
0.5410,35.9727
0.5471,36.3077
0.5532,35.9614
0.5592,35.3824
0.5653,35.0296
0.5714,34.8581
0.5775,34.6892
0.5836,34.5301
0.5896,34.4506
0.5957,34.0706
0.6018,33.3598
0.6079,32.7546
0.6140,32.5500
0.6200,32.4826
0.6261,32.4831
0.6322,32.8002
0.6383,33.5322
0.6444,34.4899
0.6504,35.1686
0.6565,35.5726
0.6626,35.8077
0.6687,35.9451
0.6747,36.1026
0.6808,36.0810
0.6869,35.9644
0.6930,35.7097
0.6991,35.4326
0.7051,35.3685
0.7112,35.5338
0.7173,35.8366
0.7234,36.2796
0.7295,36.6029
0.7355,36.8417
0.7416,37.1795
0.7477,37.6644
0.7538,38.3248
0.7598,39.0304
0.7659,39.6912
0.7720,40.1455
0.7781,40.4457
0.7842,40.6376
0.7902,40.7234
0.7963,40.7649
0.8024,40.6857
0.8085,40.1851
0.8146,39.5226
0.8206,38.8464
0.8267,38.2807
0.8328,37.7497
0.8389,37.1936
0.8449,36.5709
0.8510,35.9107
0.8571,35.4804
0.8632,35.4580
0.8693,35.6157
0.8753,35.6628
0.8814,35.7266
0.8875,35.9125
0.8936,36.1740
0.8997,36.5063
0.9057,36.7768
0.9118,36.6026
0.9179,36.0559
0.9240,35.3484
0.9301,34.5642
0.9361,34.0021
0.9422,33.7209
0.9483,33.4400
0.9544,33.0509
0.9604,32.6699
0.9665,32.5424
0.9726,32.4450
0.9787,32.3743
0.9848,32.3488
0.9908,32.2903
0.9969,32.2174
1.0030,32.0577
1.0091,32.2676
1.0152,32.7018
1.0212,32.9819
1.0273,32.9932
1.0334,33.1664
1.0395,33.4452
1.0455,33.8383
1.0516,34.2402
1.0577,34.7426
1.0638,35.2022
1.0699,35.7137
1.0759,36.2823
1.0820,36.9504
1.0881,37.4889
1.0942,37.7680
1.1003,37.8587
1.1063,37.8071
1.1124,37.5739
1.1185,37.1652
1.1246,36.7753
1.1307,36.4341
1.1367,36.0789
1.1428,35.8343
1.1489,35.7819
1.1550,35.5878
1.1610,35.4352
1.1671,35.4083
1.1732,35.3736
1.1793,35.1650
1.1854,34.8048
1.1914,34.3438
1.1975,33.9592
1.2036,33.7522
1.2097,33.5946
1.2158,33.4944
1.2218,33.3034
1.2279,33.0297
1.2340,32.8554
1.2401,32.7326
1.2461,32.6235
1.2522,32.8441
1.2583,33.4416
1.2644,34.0265
1.2705,34.2658
1.2765,33.9648
1.2826,33.5599
1.2887,33.4454
1.2948,33.6640
1.3009,33.9877
1.3069,34.2514
1.3130,34.5249
1.3191,34.6531
1.3252,34.6590
1.3313,34.4329
1.3373,34.0826
1.3434,33.8569
1.3495,33.8822
1.3556,34.0730
1.3616,34.4372
1.3677,34.6549
1.3738,34.7940
1.3799,34.8631
1.3860,34.8442
1.3920,34.9886
1.3981,35.0817
1.4042,34.8996
1.4103,34.4405
1.4164,34.0673
