Distance_(mm),Gray_Value
0.00000,12.7822
0.00608,13.3211
0.01216,13.8553
0.01824,14.2711
0.02432,14.6790
0.03039,15.5004
0.03647,16.6060
0.04255,17.3303
0.04863,17.7850
0.05471,18.5060
0.06079,19.4147
0.06687,20.6402
0.07295,21.5191
0.07902,22.5603
0.08510,23.4117
0.09118,23.9936
0.09726,24.7052
0.10334,25.0913
0.10942,25.4627
0.11550,25.0950
0.12158,24.4806
0.12765,24.7740
0.13373,24.6552
0.13981,23.9852
0.14589,23.6428
0.15197,23.0373
0.15805,22.8671
0.16413,23.7089
0.17021,24.1583
0.17628,24.0083
0.18236,24.2237
0.18844,24.5320
0.19452,25.2476
0.20060,24.9858
0.20668,24.9178
0.21276,25.2733
0.21884,25.5400
0.22491,26.0548
0.23099,25.8742
0.23707,25.7223
0.24315,25.7339
0.24923,25.7086
0.25531,26.0634
0.26139,26.0504
0.26747,25.6390
0.27354,25.8730
0.27962,26.0425
0.28570,25.3435
0.29178,24.9402
0.29786,24.9875
0.30394,24.9704
0.31002,25.3579
0.31610,25.0048
0.32218,23.6973
0.32825,23.3546
0.33433,23.5175
0.34041,23.3919
0.34649,23.7332
0.35257,24.4000
0.35865,24.5423
0.36473,23.5795
0.37081,23.4615
0.37688,23.5026
0.38296,23.1041
0.38904,22.8109
0.39512,22.5214
0.40120,22.2831
0.40728,22.1772
0.41336,22.0087
0.41944,21.9491
0.42551,21.7046
0.43159,21.3994
0.43767,20.7085
0.44375,20.6145
0.44983,20.7446
0.45591,20.7772
0.46199,20.8041
0.46807,20.9148
0.47414,20.1876
0.48022,19.7675
0.48630,19.9821
0.49238,19.9169
0.49846,19.6142
0.50454,19.6866
0.51062,19.5274
0.51670,19.1993
0.52277,19.4070
0.52885,19.5627
0.53493,19.1487
0.54101,18.5891
0.54709,18.3606
0.55317,17.9428
0.55925,17.6671
0.56533,17.4408
0.57140,17.3490
0.57748,17.2179
0.58356,16.8095
0.58964,16.8366
0.59572,16.8332
0.60180,16.6180
0.60788,16.3403
0.61396,16.1635
0.62003,15.9504
0.62611,15.7875
0.63219,15.9859
0.63827,16.0259
0.64435,15.8962
0.65043,15.6418
0.65651,15.8186
0.66259,16.3598
0.66867,16.5269
0.67474,16.0931
0.68082,15.7307
0.68690,15.6679
0.69298,15.5541
0.69906,15.8566
0.70514,16.1525
0.71122,16.0871
0.71730,16.1811
0.72337,16.4453
0.72945,16.9322
0.73553,16.5321
0.74161,16.0233
0.74769,16.0836
0.75377,16.4050
0.75985,16.4056
0.76593,15.9727
0.77200,15.6588
0.77808,15.6217
0.78416,15.9620
0.79024,16.3865
0.79632,16.2841
0.80240,15.9590
0.80848,15.6032
0.81456,15.3378
0.82063,15.2776
0.82671,15.3074
0.83279,15.2618
0.83887,15.3842
0.84495,15.1295
0.85103,14.7579
0.85711,14.7304
0.86319,14.8113
0.86926,14.5196
0.87534,14.2641
0.88142,14.5411
0.88750,15.1200
0.89358,15.3285
0.89966,15.3393
0.90574,15.6252
0.91182,16.2428
0.91789,16.2171
0.92397,15.9712
0.93005,15.8295
0.93613,15.7505
0.94221,15.6035
0.94829,15.1860
0.95437,14.7678
0.96045,14.8843
0.96653,14.4817
0.97260,13.8737
0.97868,13.3312
0.98476,13.0472
0.99084,12.8655
0.99692,12.8179
1.00300,12.8461
1.00908,12.9125
1.01516,12.8242
1.02123,12.7356
1.02731,12.3713
1.03339,12.1780
1.03947,12.3027
1.04555,12.1648
1.05163,11.9778
1.05771,12.0326
1.06379,12.0912
1.06986,11.9500
1.07594,11.9059
1.08202,11.9924
1.08810,12.0683
1.09418,12.0267
1.10026,12.2304
1.10634,12.0389
1.11242,11.9209
1.11849,11.7929
1.12457,11.2691
1.13065,10.8176
1.13673,10.5329
1.14281,10.2844
1.14889,10.1569
1.15497,9.9877
1.16105,9.8397
1.16712,9.7425
1.17320,9.5122
1.17928,9.1009
1.18536,8.3778
1.19144,8.0078
1.19752,7.9003
1.20360,7.8637
1.20968,7.7492
1.21575,7.6212
1.22183,7.6263
1.22791,7.4992
1.23399,7.4677
1.24007,7.0871
1.24615,6.7186
1.25223,6.6698
1.25831,6.6385
1.26439,6.6519
1.27046,6.6158
1.27654,6.7427
1.28262,6.7938
1.28870,6.7817
1.29478,6.7876
1.30086,6.8947
1.30694,6.8744
1.31302,6.6731
1.31909,6.4033
1.32517,6.3364
1.33125,6.3439
1.33733,6.5286
1.34341,6.6339
1.34949,6.6656
1.35557,6.5413
1.36165,6.4710
1.36772,6.4794
1.37380,6.3323
1.37988,6.2136
1.38596,6.1660
1.39204,6.1318
1.39812,6.0418
1.40420,6.0203
1.41028,5.9856
1.41635,5.9538
1.42243,5.9813
1.42851,6.0292
1.43459,5.9457
1.44067,5.8285
1.44675,5.7304
1.45283,5.6705
1.45891,5.6207
1.46498,5.5379
1.47106,5.5686
1.47714,5.6386
1.48322,5.6633
1.48930,5.7707
1.49538,5.7966
1.50146,5.4420
1.50754,5.2237
1.51361,5.2053
1.51969,5.0674
1.52577,4.9415
1.53185,4.8897
1.53793,4.8944
1.54401,4.8179
1.55009,4.8411
1.55617,4.9034
1.56225,4.9237
1.56832,4.8925
1.57440,4.9374
1.58048,4.9256
1.58656,4.9077
