Distance_(mm),Gray_Value
0.0000,37.3821
0.0061,37.5540
0.0122,37.7465
0.0182,38.0796
0.0243,38.1251
0.0304,37.3500
0.0365,36.4738
0.0426,36.2495
0.0486,37.0796
0.0547,38.5086
0.0608,39.7760
0.0669,40.1555
0.0729,39.7417
0.0790,39.5932
0.0851,40.1578
0.0912,41.4179
0.0973,42.7531
0.1033,43.9915
0.1094,45.0510
0.1155,46.0838
0.1216,46.5981
0.1277,46.7383
0.1337,46.1931
0.1398,45.0237
0.1459,42.9255
0.1520,40.4678
0.1580,39.1863
0.1641,39.1985
0.1702,40.1169
0.1763,41.6597
0.1824,43.5934
0.1884,45.0020
0.1945,45.4306
0.2006,45.3153
0.2067,45.0025
0.2128,44.8571
0.2188,44.4137
0.2249,43.7255
0.2310,43.1232
0.2371,42.6088
0.2432,41.9150
0.2492,41.6570
0.2553,41.9242
0.2614,42.1474
0.2675,41.8201
0.2735,41.0680
0.2796,40.7081
0.2857,41.4571
0.2918,43.1360
0.2979,45.0445
0.3039,46.3382
0.3100,47.1544
0.3161,48.1462
0.3222,48.4884
0.3283,48.2386
0.3343,47.3031
0.3404,45.1379
0.3465,43.0945
0.3526,42.1892
0.3586,41.3956
0.3647,40.4662
0.3708,39.7211
0.3769,39.2672
0.3830,39.3051
0.3890,39.5421
0.3951,39.8328
0.4012,39.9085
0.4073,40.0081
0.4134,40.8121
0.4194,41.8208
0.4255,42.3662
0.4316,42.4346
0.4377,42.7246
0.4438,43.0270
0.4498,42.8804
0.4559,42.5655
0.4620,42.0463
0.4681,41.2537
0.4741,40.6382
0.4802,40.4219
0.4863,40.1868
0.4924,39.8820
0.4985,39.3407
0.5045,38.4452
0.5106,37.6014
0.5167,37.0123
0.5228,36.8988
0.5289,37.1375
0.5349,37.2688
0.5410,37.2453
0.5471,37.3375
0.5532,37.9087
0.5592,39.1095
0.5653,40.4011
0.5714,40.7867
0.5775,40.0687
0.5836,38.8133
0.5896,37.2886
0.5957,36.1919
0.6018,35.9230
0.6079,35.9399
0.6140,35.5708
0.6200,34.9533
0.6261,34.4303
0.6322,34.0574
0.6383,34.0508
0.6444,34.2908
0.6504,34.8772
0.6565,35.9239
0.6626,37.0041
0.6687,37.3549
0.6747,36.6577
0.6808,35.3958
0.6869,34.4146
0.6930,33.8293
0.6991,33.4831
0.7051,33.1352
0.7112,32.9254
0.7173,32.7798
0.7234,32.7949
0.7295,32.9522
0.7355,33.0531
0.7416,32.9801
0.7477,32.7136
0.7538,32.5639
0.7598,32.3383
0.7659,32.2202
0.7720,32.1596
0.7781,32.1040
0.7842,31.9986
0.7902,31.9112
0.7963,31.7731
0.8024,31.5595
0.8085,31.3314
0.8146,31.1965
0.8206,31.2709
0.8267,31.8315
0.8328,33.1584
0.8389,34.9055
0.8449,35.7974
0.8510,35.0101
0.8571,33.4803
0.8632,32.3908
0.8693,31.9007
0.8753,31.5636
0.8814,31.4983
0.8875,31.6135
0.8936,31.7994
0.8997,31.8367
0.9057,31.7515
0.9118,31.7204
0.9179,31.6161
0.9240,31.3945
0.9301,31.0783
0.9361,30.8326
0.9422,30.7776
0.9483,30.9449
0.9544,31.9343
0.9604,33.5133
0.9665,34.1071
0.9726,33.1239
0.9787,31.8389
0.9848,31.0602
0.9908,30.9707
0.9969,31.2870
1.0030,31.7055
1.0091,32.3473
1.0152,33.3828
1.0212,34.6196
1.0273,35.5829
1.0334,36.0908
1.0395,35.8554
1.0455,34.7552
1.0516,33.6023
1.0577,32.8340
1.0638,32.3538
1.0699,32.0732
1.0759,31.7462
1.0820,31.5349
1.0881,31.2817
1.0942,31.0225
1.1003,30.7921
1.1063,30.5884
1.1124,30.4740
1.1185,30.6688
1.1246,31.0193
1.1307,31.2648
1.1367,31.3394
1.1428,31.0600
1.1489,30.6497
1.1550,30.2491
1.1610,30.1770
1.1671,30.3227
1.1732,30.5869
1.1793,31.0440
1.1854,31.6516
1.1914,32.2507
1.1975,32.3889
1.2036,32.1167
1.2097,32.0030
1.2158,31.5988
1.2218,30.8342
1.2279,30.1922
1.2340,29.8494
1.2401,29.7124
1.2461,29.6892
1.2522,29.8314
1.2583,30.1807
1.2644,30.3335
1.2705,30.2831
1.2765,30.1239
1.2826,29.9488
1.2887,29.7211
1.2948,29.6349
1.3009,29.5406
1.3069,29.4621
1.3130,29.4881
1.3191,29.7551
1.3252,30.2432
1.3313,30.3655
1.3373,30.0542
1.3434,29.7641
1.3495,30.1082
1.3556,31.2258
1.3616,32.2800
1.3677,31.7551
1.3738,30.2082
1.3799,29.1494
1.3860,28.8185
1.3920,28.8302
1.3981,28.7459
1.4042,28.6339
1.4103,28.7059
1.4164,28.6555
1.4224,28.3773
1.4285,28.1262
1.4346,27.9594
1.4407,27.8671
1.4467,27.7934
1.4528,27.7777
1.4589,27.9622
1.4650,28.3019
1.4711,28.5721
1.4771,28.6373
1.4832,28.5818
1.4893,28.5208
1.4954,28.2956
1.5015,28.0474
1.5075,27.9753
1.5136,28.1578
1.5197,28.3545
1.5258,28.4285
1.5319,28.1674
1.5379,27.9192
1.5440,27.7207
