Distance_(mm),Gray_Value
0.0000,25.9436
0.0061,25.0942
0.0122,24.3047
0.0182,23.6696
0.0243,22.8615
0.0304,21.7294
0.0365,20.7669
0.0426,20.2331
0.0486,19.8524
0.0547,19.7053
0.0608,19.8454
0.0669,20.1695
0.0729,20.2663
0.0790,20.1254
0.0851,20.3699
0.0912,20.9761
0.0973,21.6835
0.1033,22.0604
0.1094,21.9924
0.1155,21.5114
0.1216,21.1396
0.1277,20.9356
0.1337,20.8877
0.1398,20.8956
0.1459,20.4758
0.1520,19.7882
0.1580,19.0280
0.1641,18.3530
0.1702,17.8109
0.1763,17.4289
0.1824,17.2820
0.1884,17.3834
0.1945,17.7360
0.2006,18.1940
0.2067,18.7121
0.2128,19.2787
0.2188,19.7590
0.2249,19.7692
0.2310,19.5102
0.2371,19.1272
0.2432,18.7714
0.2492,18.4671
0.2553,17.8844
0.2614,17.1818
0.2675,16.5865
0.2735,16.1863
0.2796,16.0421
0.2857,15.7987
0.2918,15.6542
0.2979,15.5165
0.3039,15.5054
0.3100,15.6435
0.3161,15.8224
0.3222,15.9564
0.3283,16.1007
0.3343,16.1104
0.3404,16.1185
0.3465,16.3423
0.3526,16.7631
0.3586,17.1078
0.3647,17.0751
0.3708,16.9236
0.3769,16.9304
0.3830,17.1526
0.3890,17.3409
0.3951,17.3050
0.4012,16.9384
0.4073,16.5399
0.4134,16.3842
0.4194,16.4423
0.4255,16.5438
0.4316,16.5025
0.4377,16.4885
0.4438,16.5447
0.4498,16.6747
0.4559,16.7826
0.4620,16.8210
0.4681,16.8099
0.4741,16.6902
0.4802,16.5978
0.4863,16.5586
0.4924,16.4824
0.4985,16.4763
0.5045,16.4591
0.5106,16.5232
0.5167,16.6272
0.5228,16.7845
0.5289,17.0380
0.5349,17.1525
0.5410,17.2625
0.5471,17.2780
0.5532,17.3910
0.5592,17.5745
0.5653,17.7082
0.5714,17.7985
0.5775,17.8092
0.5836,17.7665
0.5896,17.7075
0.5957,17.6891
0.6018,17.6356
0.6079,17.5615
0.6140,17.6259
0.6200,17.6638
0.6261,17.6891
0.6322,17.7764
0.6383,17.8624
0.6444,17.8763
0.6504,17.9346
0.6565,17.9528
0.6626,17.8949
0.6687,17.8143
0.6747,17.5857
0.6808,17.5378
0.6869,17.5485
0.6930,17.5789
0.6991,17.5714
0.7051,17.5055
0.7112,17.5123
0.7173,17.4361
0.7234,17.3349
0.7295,17.2922
0.7355,17.3187
0.7416,17.3793
0.7477,17.5261
0.7538,17.7838
0.7598,18.0276
0.7659,18.2248
0.7720,18.3775
0.7781,18.4780
0.7842,18.6016
0.7902,18.7824
0.7963,19.0845
0.8024,19.4290
0.8085,19.7252
0.8146,19.8596
0.8206,20.2830
0.8267,20.6581
0.8328,20.6533
0.8389,20.2825
0.8449,19.9388
0.8510,19.8387
0.8571,19.8092
0.8632,19.7886
0.8693,19.6828
0.8753,19.5386
0.8814,19.4784
0.8875,19.4126
0.8936,19.4134
0.8997,19.5542
0.9057,19.7387
0.9118,19.8518
0.9179,19.8530
0.9240,19.8795
0.9301,19.9997
0.9361,20.1806
0.9422,20.3448
0.9483,20.3889
0.9544,20.3434
0.9604,20.3589
0.9665,20.5041
0.9726,20.6688
0.9787,20.7415
0.9848,20.7383
0.9908,20.6740
0.9969,20.5100
1.0030,20.4562
1.0091,20.4415
1.0152,20.4508
1.0212,20.4045
1.0273,20.2432
1.0334,20.2702
1.0395,20.4175
1.0455,20.3776
1.0516,20.2404
1.0577,20.0900
1.0638,19.8738
1.0699,19.7141
1.0759,19.7053
1.0820,19.7512
1.0881,19.9160
1.0942,20.1609
1.1003,20.4515
1.1063,20.6411
1.1124,20.7560
1.1185,20.8678
1.1246,20.8517
1.1307,20.7917
1.1367,20.6041
1.1428,20.3982
1.1489,20.3237
1.1550,20.2862
1.1610,20.1547
1.1671,20.0297
1.1732,20.0614
1.1793,20.0881
1.1854,20.1177
1.1914,20.1605
1.1975,20.1475
1.2036,20.1923
1.2097,20.3877
1.2158,20.6270
1.2218,20.6876
1.2279,20.6698
1.2340,20.6834
1.2401,20.7210
1.2461,20.7891
1.2522,20.8625
1.2583,21.0411
1.2644,21.2782
1.2705,21.4071
1.2765,21.4021
1.2826,21.4544
1.2887,21.5403
1.2948,21.6291
1.3009,21.3762
1.3069,20.5629
1.3130,19.8991
1.3191,19.6428
1.3252,19.6213
1.3313,19.5431
1.3373,19.4191
1.3434,19.4527
1.3495,19.5797
1.3556,19.7103
1.3616,19.8199
1.3677,19.8077
1.3738,19.6074
1.3799,19.4134
1.3860,19.2428
1.3920,19.2450
1.3981,19.4667
1.4042,19.7538
1.4103,20.0664
1.4164,20.3142
