Distance_(mm),Gray_Value
0.0000,27.7293
0.0061,27.9075
0.0122,28.1261
0.0182,28.3069
0.0243,28.4125
0.0304,28.4556
0.0365,28.4868
0.0426,28.5903
0.0486,28.7590
0.0547,28.9176
0.0608,29.0620
0.0669,29.1963
0.0729,29.3422
0.0790,29.5800
0.0851,29.9066
0.0912,30.2597
0.0973,30.6134
0.1033,31.0969
0.1094,31.6852
0.1155,32.3529
0.1216,33.2191
0.1277,34.1025
0.1337,34.8835
0.1398,35.4337
0.1459,35.7562
0.1520,35.9164
0.1580,35.7659
0.1641,35.4086
0.1702,35.0850
0.1763,34.6475
0.1824,34.2330
0.1884,33.8973
0.1945,33.6630
0.2006,33.3434
0.2067,33.0376
0.2128,32.8569
0.2188,32.6626
0.2249,32.5660
0.2310,32.5635
0.2371,32.6323
0.2432,32.9911
0.2492,33.6070
0.2553,34.3725
0.2614,35.2871
0.2675,36.1774
0.2735,36.8838
0.2796,37.3103
0.2857,37.4664
0.2918,37.4626
0.2979,37.3013
0.3039,37.1616
0.3100,37.2108
0.3161,37.1733
0.3222,37.0828
0.3283,36.9556
0.3343,36.7738
0.3404,36.6530
0.3465,36.6483
0.3526,36.7054
0.3586,36.7897
0.3647,36.9668
0.3708,37.2341
0.3769,37.3696
0.3830,37.3469
0.3890,37.3108
0.3951,37.2613
0.4012,37.1853
0.4073,37.1495
0.4134,37.1558
0.4194,37.1661
0.4255,37.2075
0.4316,37.1168
0.4377,36.8195
0.4438,36.4779
0.4498,36.1816
0.4559,36.0107
0.4620,36.1411
0.4681,36.4903
0.4741,37.0784
0.4802,37.6438
0.4863,38.1919
0.4924,38.5831
0.4985,38.7209
0.5045,38.7115
0.5106,38.5561
0.5167,38.2208
0.5228,37.7620
0.5289,37.3220
0.5349,36.9538
0.5410,36.6138
0.5471,36.2843
0.5532,36.0650
0.5592,35.9021
0.5653,35.6591
0.5714,35.5320
0.5775,35.5057
0.5836,35.6379
0.5896,36.0448
0.5957,36.4082
0.6018,37.0213
0.6079,37.6594
0.6140,38.2730
0.6200,38.8313
0.6261,39.2925
0.6322,39.5710
0.6383,39.5649
0.6444,39.5141
0.6504,39.3233
0.6565,39.0428
0.6626,38.6428
0.6687,38.2552
0.6747,37.7448
0.6808,37.3396
0.6869,37.0195
0.6930,36.8155
0.6991,36.7151
0.7051,36.5613
0.7112,36.3605
0.7173,36.1529
0.7234,35.9898
0.7295,36.0109
0.7355,36.2999
0.7416,36.8139
0.7477,37.2320
0.7538,37.4665
0.7598,37.6018
0.7659,37.6051
0.7720,37.5628
0.7781,37.4934
0.7842,37.4163
0.7902,37.3263
0.7963,37.2217
0.8024,37.1016
0.8085,37.0688
0.8146,37.0724
0.8206,37.1879
0.8267,37.2044
0.8328,37.1927
0.8389,37.2144
0.8449,37.3593
0.8510,37.6687
0.8571,38.1872
0.8632,38.7808
0.8693,39.1926
0.8753,39.3894
0.8814,39.3669
0.8875,39.1322
0.8936,38.9568
0.8997,38.8409
0.9057,38.8023
0.9118,38.7822
0.9179,38.9393
0.9240,38.9442
0.9301,38.8450
0.9361,38.6820
0.9422,38.5699
0.9483,38.6153
0.9544,38.8238
0.9604,39.1461
0.9665,39.4509
