Distance_(mm),Gray_Value
0.00000,70.8938
0.00608,70.4840
0.01216,72.7224
0.01824,79.9749
0.02432,70.9647
0.03039,68.6433
0.03647,73.1074
0.04255,77.5066
0.04863,76.1758
0.05471,76.5897
0.06079,81.2354
0.06687,85.6161
0.07295,82.7932
0.07902,83.6599
0.08510,83.5152
0.09118,79.7251
0.09726,82.4896
0.10334,86.7730
0.10942,88.2881
0.11550,82.7390
0.12158,81.5090
0.12765,83.7278
0.13373,83.8427
0.13981,88.9145
0.14589,83.3654
0.15197,82.7942
0.15805,77.9571
0.16413,83.6366
0.17021,80.8950
0.17628,77.6507
0.18236,74.8049
0.18844,73.9544
0.19452,74.1694
0.20060,70.3869
0.20668,73.6992
0.21276,74.2825
0.21884,80.0380
0.22491,78.6312
0.23099,76.2955
0.23707,80.3059
0.24315,82.7308
0.24923,81.3481
0.25531,85.2716
0.26139,76.4571
0.26747,78.6165
0.27354,77.4357
0.27962,83.3847
0.28570,80.6293
0.29178,85.4534
0.29786,85.4792
0.30394,86.0249
0.31002,91.3555
0.31610,95.0295
0.32218,94.6689
0.32825,88.9703
0.33433,86.3715
0.34041,90.1857
0.34649,89.5642
0.35257,90.8746
0.35865,87.0926
0.36473,87.7583
0.37081,87.9989
0.37688,90.3567
0.38296,89.0769
0.38904,86.8810
0.39512,91.6130
0.40120,90.9551
0.40728,85.2327
0.41336,92.3051
0.41944,93.2266
0.42551,86.4786
0.43159,78.1214
0.43767,78.2651
0.44375,80.6252
0.44983,78.5183
0.45591,79.4235
0.46199,83.4779
0.46807,80.4132
0.47414,79.6500
0.48022,77.3980
0.48630,77.5842
0.49238,74.5575
0.49846,75.4826
0.50454,73.7914
0.51062,75.3280
0.51670,74.7680
0.52277,77.6241
0.52885,77.9599
0.53493,79.0773
0.54101,81.3270
0.54709,84.3188
0.55317,82.2831
0.55925,77.5356
0.56533,80.2414
0.57140,76.5098
0.57748,79.2050
0.58356,78.7627
0.58964,84.0602
0.59572,79.3169
0.60180,81.4543
0.60788,75.0036
0.61396,74.2326
0.62003,78.7374
0.62611,80.5716
0.63219,84.9133
0.63827,77.5856
0.64435,82.8975
0.65043,82.9210
0.65651,84.4831
0.66259,88.2145
0.66867,83.2762
0.67474,79.0325
0.68082,79.9544
0.68690,77.4907
0.69298,71.7117
0.69906,71.8706
0.70514,75.3776
0.71122,70.2420
0.71730,73.6385
0.72337,76.5539
0.72945,76.0925
0.73553,77.9322
0.74161,77.0185
0.74769,72.1201
0.75377,73.1009
0.75985,74.3600
0.76593,80.4729
0.77200,75.2518
0.77808,74.8423
0.78416,77.5433
0.79024,70.9330
0.79632,74.4964
0.80240,64.4273
0.80848,70.3264
0.81456,69.2699
0.82063,68.5410
0.82671,62.2349
0.83279,61.5109
0.83887,64.3243
0.84495,66.3592
0.85103,66.3190
0.85711,66.9095
0.86319,71.6236
0.86926,71.4990
0.87534,70.9667
0.88142,71.1755
0.88750,71.2932
0.89358,67.3280
0.89966,65.6143
0.90574,68.7258
0.91182,70.8411
