Distance_(mm),Gray_Value
1.9331,35.7640
1.9391,35.6541
1.9452,35.6316
1.9513,35.6103
1.9574,35.4526
1.9634,35.2742
1.9695,35.0238
1.9756,34.8052
1.9817,34.5972
1.9878,34.4547
1.9938,34.4868
1.9999,34.5389
2.0060,34.5689
2.0121,34.6562
2.0182,34.8459
2.0242,35.0400
2.0303,34.9507
2.0364,34.7315
2.0425,34.6458
2.0485,34.7353
2.0546,34.8184
2.0607,34.9966
2.0668,35.0384
2.0729,34.7818
2.0789,34.2990
2.0850,33.9713
2.0911,33.7935
2.0972,33.8171
2.1033,33.9962
2.1093,34.2640
2.1154,34.3436
2.1215,34.2216
2.1276,33.9916
2.1336,33.9577
2.1397,34.3260
2.1458,34.9674
2.1519,35.4256
2.1580,35.4910
2.1640,35.4026
2.1701,35.2378
2.1762,34.9990
2.1823,34.6962
2.1884,34.4063
2.1944,34.3111
2.2005,34.2932
2.2066,34.4293
2.2127,34.7178
2.2188,34.9110
2.2248,35.0222
2.2309,34.8456
2.2370,34.3967
2.2431,33.8473
2.2491,33.2675
2.2552,32.7811
2.2613,32.6362
2.2674,32.7854
2.2735,32.8423
2.2795,32.5169
2.2856,31.9118
2.2917,31.3855
2.2978,31.3936
2.3039,31.7248
2.3099,31.9919
2.3160,32.0627
2.3221,31.9819
2.3282,31.8853
2.3342,31.8122
2.3403,31.6915
2.3464,31.5085
2.3525,31.2758
2.3586,31.2000
2.3646,31.3135
2.3707,31.6547
2.3768,32.2154
2.3829,32.6490
2.3890,32.7321
2.3950,32.5122
2.4011,32.1414
2.4072,31.7671
2.4133,31.4493
2.4194,31.3482
2.4254,31.2099
2.4315,30.9699
2.4376,30.7197
2.4437,30.4582
2.4497,30.1526
2.4558,29.8000
2.4619,29.4185
2.4680,29.1430
2.4741,29.0124
2.4801,29.0317
2.4862,29.1082
2.4923,29.1592
2.4984,29.2095
2.5045,29.3638
2.5105,29.4381
2.5166,29.3336
2.5227,29.1686
2.5288,29.0680
2.5348,28.8627
2.5409,28.7451
2.5470,28.9182
2.5531,29.0648
2.5592,28.9677
2.5652,28.8784
2.5713,28.8488
2.5774,28.6741
2.5835,28.4009
2.5896,28.0651
2.5956,27.9546
2.6017,27.8721
2.6078,27.6825
2.6139,27.5240
2.6200,27.6642
2.6260,27.8836
2.6321,27.8503
2.6382,27.7582
2.6443,27.7826
2.6503,27.7846
2.6564,27.6270
2.6625,27.4421
2.6686,27.3482
2.6747,27.4838
2.6807,27.8664
2.6868,28.3909
2.6929,28.8885
2.6990,29.0519
2.7051,28.9448
2.7111,28.6978
2.7172,28.3914
2.7233,28.0951
2.7294,27.6780
2.7354,27.2231
2.7415,26.9475
2.7476,26.7812
2.7537,26.4443
2.7598,26.0810
2.7658,25.9199
2.7719,25.8789
2.7780,25.7743
2.7841,25.6614
2.7902,25.4403
2.7962,25.2708
2.8023,25.2774
2.8084,25.2857
2.8145,25.1418
2.8206,24.9679
2.8266,24.8324
2.8327,24.8483
2.8388,24.9429
2.8449,24.9846
2.8509,25.0645
2.8570,25.3120
2.8631,25.5330
2.8692,25.5248
2.8753,25.2798
2.8813,25.1709
2.8874,25.2003
2.8935,25.2001
2.8996,25.2122
2.9057,25.1055
2.9117,24.8322
2.9178,24.5447
2.9239,24.4061
2.9300,24.4788
2.9360,24.7190
2.9421,24.8234
2.9482,24.8468
2.9543,25.0857
2.9604,25.2439
2.9664,25.3634
2.9725,25.5376
2.9786,25.7596
2.9847,26.0505
2.9908,26.4052
2.9968,26.7072
3.0029,27.0780
3.0090,27.6354
3.0151,28.3670
3.0212,28.8135
3.0272,28.6919
3.0333,28.0350
3.0394,27.2178
3.0455,26.6046
3.0515,26.1385
3.0576,25.7251
3.0637,25.3663
3.0698,25.1716
3.0759,25.0585
3.0819,24.9223
3.0880,24.9185
3.0941,25.0216
3.1002,25.0041
3.1063,24.9284
3.1123,24.9332
3.1184,24.9024
3.1245,24.8900
3.1306,24.8732
3.1366,24.8941
3.1427,24.9708
3.1488,25.1210
3.1549,25.2849
3.1610,25.2924
3.1670,25.2599
3.1731,25.3706
3.1792,25.6148
3.1853,25.8941
3.1914,25.9939
3.1974,25.7238
3.2035,25.1676
3.2096,24.8395
3.2157,24.8604
3.2218,25.0793
3.2278,25.2545
3.2339,25.2634
3.2400,25.2173
3.2461,25.2074
3.2521,25.0409
3.2582,24.7183
