Distance_(mm),Gray_Value
0.00000,26.3121
0.00608,26.4664
0.01216,26.3125
0.01824,26.1871
0.02432,26.2227
0.03039,25.9236
0.03647,24.9180
0.04255,23.8907
0.04863,23.1217
0.05471,22.5034
0.06079,21.9212
0.06687,21.4243
0.07295,20.9525
0.07902,20.7111
0.08510,20.5265
0.09118,20.2304
0.09726,20.1170
0.10334,19.8964
0.10942,19.7285
0.11550,19.6344
0.12158,19.7556
0.12765,19.9317
0.13373,20.2031
0.13981,20.5062
0.14589,20.6419
0.15197,20.7615
0.15805,20.8173
0.16413,20.7466
0.17021,20.7222
0.17628,20.8407
0.18236,20.8807
0.18844,20.6078
0.19452,20.3628
0.20060,20.0450
0.20668,19.6400
0.21276,19.3124
0.21884,19.1117
0.22491,18.9361
0.23099,18.5433
0.23707,18.1842
0.24315,17.6005
0.24923,16.8593
0.25531,16.3015
0.26139,15.9300
0.26747,15.5860
0.27354,15.3088
0.27962,15.0721
0.28570,14.9973
0.29178,15.0884
0.29786,15.1584
0.30394,15.1428
0.31002,15.3449
0.31610,15.3964
0.32218,15.2356
0.32825,15.0262
0.33433,15.0236
0.34041,15.1366
0.34649,15.2181
0.35257,15.1051
0.35865,15.0199
0.36473,15.0060
0.37081,15.0608
0.37688,15.0581
0.38296,14.8876
0.38904,14.9374
0.39512,15.0033
0.40120,15.0568
0.40728,15.0682
0.41336,15.1874
0.41944,14.9753
0.42551,14.8898
0.43159,14.5569
0.43767,14.0428
0.44375,13.9768
0.44983,13.8341
0.45591,13.3837
0.46199,12.7690
0.46807,12.3139
0.47414,12.0846
0.48022,12.0322
0.48630,11.9106
0.49238,11.6856
0.49846,11.4136
0.50454,11.2331
0.51062,11.1158
0.51670,10.9168
0.52277,10.9941
0.52885,10.8364
0.53493,10.8004
0.54101,11.0142
0.54709,11.0307
0.55317,10.8916
0.55925,10.7163
0.56533,10.6217
0.57140,10.6802
0.57748,10.5863
0.58356,10.3066
0.58964,10.3310
0.59572,10.2257
0.60180,9.7783
0.60788,9.2798
0.61396,9.2205
0.62003,9.3192
0.62611,9.4162
0.63219,9.6188
0.63827,9.5525
0.64435,9.4622
0.65043,9.4121
0.65651,8.9351
0.66259,8.4409
0.66867,7.8799
0.67474,7.4638
0.68082,7.1143
0.68690,6.9917
0.69298,6.9449
0.69906,7.0232
0.70514,7.0786
0.71122,7.3938
0.71730,7.6371
0.72337,7.5095
0.72945,7.0884
0.73553,6.9477
0.74161,6.5989
0.74769,6.4382
0.75377,6.4042
0.75985,6.4437
0.76593,6.2975
0.77200,6.0925
0.77808,6.0049
0.78416,6.0089
0.79024,6.3092
0.79632,7.0488
0.80240,7.4045
0.80848,7.7309
0.81456,7.9926
0.82063,7.6843
0.82671,7.3095
0.83279,7.0171
0.83887,7.0103
0.84495,7.3000
0.85103,7.4352
0.85711,7.4670
0.86319,7.5996
0.86926,7.9546
0.87534,7.9252
0.88142,7.9465
0.88750,7.9910
0.89358,7.8660
0.89966,7.7741
0.90574,7.9871
0.91182,8.2715
0.91789,8.5335
0.92397,8.6526
0.93005,9.0895
0.93613,9.3967
0.94221,9.2888
0.94829,9.2774
0.95437,9.2069
0.96045,8.9050
0.96653,8.7201
0.97260,8.6383
0.97868,8.6843
0.98476,8.7636
0.99084,9.0742
0.99692,9.0972
1.00300,8.9189
1.00908,8.7569
1.01516,8.9477
1.02123,9.0539
1.02731,9.0479
1.03339,9.2709
1.03947,9.3757
1.04555,9.1874
1.05163,9.0097
1.05771,9.0551
1.06379,9.2306
1.06986,9.2365
1.07594,9.1175
1.08202,9.2517
1.08810,9.2495
1.09418,9.1565
1.10026,9.1936
1.10634,9.3148
1.11242,9.4475
1.11849,9.3337
1.12457,8.9804
1.13065,8.7087
1.13673,8.5925
1.14281,8.7273
1.14889,8.9280
1.15497,9.0721
1.16105,9.1816
1.16712,9.0722
1.17320,9.1164
1.17928,9.1999
1.18536,9.4718
1.19144,9.8684
1.19752,9.9284
1.20360,9.7948
1.20968,9.6834
1.21575,9.2709
1.22183,8.9594
1.22791,8.8627
1.23399,8.9182
1.24007,8.7454
1.24615,8.7080
1.25223,8.7770
1.25831,8.8262
1.26439,8.6848
1.27046,8.5682
1.27654,8.5162
1.28262,8.1573
1.28870,8.0145
1.29478,8.1203
1.30086,8.2136
1.30694,8.2846
1.31302,8.0208
1.31909,7.8827
1.32517,8.1458
1.33125,8.3455
1.33733,8.2616
1.34341,8.2678
1.34949,8.4170
1.35557,8.3954
1.36165,8.2716
1.36772,8.1055
1.37380,8.0672
1.37988,8.0883
1.38596,8.2503
1.39204,8.5469
1.39812,8.7385
1.40420,8.7369
1.41028,8.5820
1.41635,8.6559
1.42243,8.8324
1.42851,8.9072
1.43459,8.8166
1.44067,8.8282
1.44675,8.7699
1.45283,8.7697
1.45891,8.9474
1.46498,9.0890
1.47106,9.1316
1.47714,8.9028
1.48322,8.8175
1.48930,8.8640
1.49538,9.3850
1.50146,9.6943
1.50754,9.7539
1.51361,9.4616
1.51969,9.2579
1.52577,9.2570
1.53185,8.8865
1.53793,8.7259
1.54401,8.8357
1.55009,8.7715
1.55617,8.7267
1.56225,8.7467
1.56832,8.8559
1.57440,8.9876
1.58048,9.1062
1.58656,9.1041
1.59264,9.1393
1.59872,8.9547
1.60480,9.0594
1.61088,8.9431
1.61695,8.8876
1.62303,8.9871
1.62911,9.0290
1.63519,9.0097
1.64127,9.1210
1.64735,9.4430
1.65343,9.8047
1.65951,10.2068
1.66558,10.9011
1.67166,10.9857
1.67774,10.0947
1.68382,9.0168
1.68990,8.5890
1.69598,8.6375
1.70206,8.7292
1.70814,8.7030
1.71421,8.6696
1.72029,8.7492
1.72637,8.8383
1.73245,8.8024
1.73853,8.8743
1.74461,8.8677
1.75069,8.8689
1.75677,9.0665
1.76284,9.1550
1.76892,9.3155
1.77500,9.4970
1.78108,9.5603
1.78716,9.6349
1.79324,9.6589
1.79932,9.8002
1.80540,9.8245
1.81147,9.5695
1.81755,9.4324
1.82363,9.4746
1.82971,9.5713
1.83579,9.5954
1.84187,9.7830
1.84795,9.9601
1.85403,10.1298
1.86011,10.3869
1.86618,10.5037
1.87226,10.2673
1.87834,10.2924
1.88442,10.5095
1.89050,10.4172
1.89658,10.3098
1.90266,10.3160
1.90874,10.2440
1.91481,10.4327
1.92089,10.9735
1.92697,11.3524
1.93305,11.2263
1.93913,11.1487
1.94521,11.1489
1.95129,11.2064
1.95737,11.2760
1.96344,11.2888
1.96952,11.3031
1.97560,11.3998
1.98168,11.7953
1.98776,11.8623
1.99384,11.9599
1.99992,12.4341
2.00600,12.5854
2.01207,12.4575
2.01815,12.2938
2.02423,12.5958
2.03031,13.1102
2.03639,13.5398
2.04247,13.7065
2.04855,14.0375
2.05463,14.6703
2.06070,15.5806
2.06678,16.1437
2.07286,16.2476
2.07894,16.3727
2.08502,16.3524
2.09110,16.3277
2.09718,16.6228
2.10326,16.8601
2.10933,16.8989
2.11541,16.6882
2.12149,16.4795
2.12757,16.6562
2.13365,16.7216
2.13973,16.3580
2.14581,15.6860
2.15189,15.4090
2.15796,15.3933
2.16404,15.1180
2.17012,14.5644
2.17620,14.2856
2.18228,14.4183
2.18836,14.4996
2.19444,14.3512
2.20052,13.6069
2.20660,12.8655
2.21267,12.4325
2.21875,12.2968
2.22483,12.0477
2.23091,11.7972
2.23699,11.7608
2.24307,11.6542
2.24915,11.3288
2.25523,10.8317
2.26130,10.3008
2.26738,9.9311
2.27346,9.5164
2.27954,8.8080
2.28562,8.3346
2.29170,8.0054
2.29778,7.7212
2.30386,7.4950
2.30993,7.5734
2.31601,7.5912
2.32209,7.5720
2.32817,7.4413
2.33425,7.0874
2.34033,6.7799
2.34641,6.5129
2.35249,6.2371
2.35856,5.9202
2.36464,5.5715
2.37072,5.4783
2.37680,5.4281
2.38288,5.2928
2.38896,5.1747
2.39504,5.1406
2.40112,5.0082
2.40719,4.9970
2.41327,4.9036
2.41935,4.6636
2.42543,4.3691
2.43151,4.2827
2.43759,4.2924
2.44367,4.1259
2.44975,3.9406
2.45582,3.7258
2.46190,3.5670
2.46798,3.7607
2.47406,3.8889
2.48014,3.7519
2.48622,3.5951
2.49230,3.4983
2.49838,3.6936
2.50446,3.6198
2.51053,3.2119
2.51661,2.8475
2.52269,2.3359
2.52877,1.9758
2.53485,1.6971
2.54093,1.4609
2.54701,1.3324
2.55309,1.1454
2.55916,1.1168
2.56524,1.1022
2.57132,1.0737
2.57740,1.0762
2.58348,1.0878
2.58956,1.0991
2.59564,1.0988
2.60172,1.0847
2.60779,1.0707
2.61387,1.1122
2.61995,1.0977
2.62603,1.0865
2.63211,1.0863
2.63819,1.1374
2.64427,1.1604
2.65035,1.1769
2.65642,1.2390
2.66250,1.2161
2.66858,1.1890
2.67466,1.1373
2.68074,1.1407
2.68682,1.1498
2.69290,1.1294
2.69898,1.1449
2.70505,1.1446
2.71113,1.0418
2.71721,0.9936
2.72329,0.8488
2.72937,0.7802
2.73545,0.6653
